URL_PAGINA_ORIGEN;URL_DESTINO_INVALIDA;DESTINO_ACTIVO
https://buenosaires.gob.ar/tramites/solicitud-de-incorporacion-de-un-bien-como-patrimonio-cultural-de-la-ciudad;https://buenosaires.gob.ar/cultura/patrimoniomuseosycasco/casa-del-historiador;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/permiso-para-ejecucion-de-obra-civil;https://buenosaires.gob.ar/tramites/impacto-ambiental;Enlace funciona
https://buenosaires.gob.ar/tramites/calesitas-y-carruseles-en-el-espacio-publico;https://buenosaires.gob.ar/justiciayseguridad/registro-deudores-alimentarios/formulario;Enlace no existe en página
https://buenosaires.gob.ar/tramites/orientacion-sobre-lineas-de-subsidio-industrias-culturales;https://ash.buenosaires.gob.ar/cmd;Ignorado (ash)
https://buenosaires.gob.ar/tramites/orientacion-sobre-lineas-de-subsidio-industrias-culturales;https://buenosaires.gob.ar/desarrolloeconomico/emprendedores/centro-metropolitano-de-diseno-vieja;Enlace no existe en página
https://buenosaires.gob.ar/tramites/acarreo-vehiculos-pesados-devolucion-de-vehiculo;https://www.buenosaires.gob.ar/tramites/acarreo-vehiculo-pesado;Enlace no existe en página
https://buenosaires.gob.ar/tramites/inscripcion-registro-organizaciones-de-la-sociedad-civil-cioba;https://mapa.buenosaires.gob.ar/informacion/?lat=-34.672039&lng=-58.493718&zl=15&modo=transporte&dir=Piedra+Buena+Av.+3280&ilat=-34.628908&ilng=-58.369939;Enlace no existe en página
https://buenosaires.gob.ar/tramites/inscripcion-del-nacimiento;https://www.mapa.buenosaires.gob.ar/comollego/?lat=-34.599883&lng=-58.386686&zl=15&modo=transporte&dir=Uruguay+Av.+753;Enlace no existe en página
https://buenosaires.gob.ar/tramites/registro-de-plano-de-instalacion-electromecanica;"https://tad.buenosaires.gob.ar/tramitesadistancia/dctramite;idTipoTramite=1486";Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/duplicado-de-licencia-de-conducir;https://ash.buenosaires.gob.ar/tramites/Carlos%20Calvo%203325%20(Almagro),%20lunes%20a%20viernes%20de%208%20a%2014.30h;Ignorado (ash)
